pre_lon,pre_lat,pre_delta_time,post_delta_time,pre_sar_date,post_sar_date,pre_HV_db,post_HV_db,pre_agbd,post_agbd,sar_status,hansen_loss_min,hansen_loss_max,hansen_loss_mode,v2c_drop_reason,passes_v2c
-71.24963729414128,-8.891306719828464,87612836.584976,149066959.909748,2020-10-02 16:14:43.029000+00:00,2022-09-30 16:14:44.605000+00:00,,,371.447296,98.295311,no_match,,,,,False
-71.2701188826192,-8.833904373173226,87612835.634561,149066958.959333,2020-09-28 16:28:37.966000+00:00,2022-09-26 16:28:39.624000+00:00,-13.394327452310705,-9.216126006942133,97.986397,18.355806350708008,ok,20.0,20.0,20.0,,True
-71.30892610289317,-8.84252819990077,87612835.630429,149066958.951068,2020-09-28 16:28:37.966000+00:00,2022-09-26 16:28:39.624000+00:00,-12.211313865333537,-14.807727560896424,453.477203,0.10481200367212296,ok,21.0,21.0,21.0,,True
-71.23643205946472,-8.941971701852808,87612837.597372,149066960.926276,2020-10-02 16:14:43.029000+00:00,2022-09-30 16:14:44.605000+00:00,,,391.746948,100.97710418701172,no_match,,,,,False
-71.25098476706745,-8.88968975231704,87612836.55192,149066959.876692,2020-10-02 16:14:43.029000+00:00,2022-09-30 16:14:44.605000+00:00,,,496.313599,0.04484599828720093,no_match,,,,,False
-71.2520627454084,-8.897505095288878,87612836.589108,149066959.913879,2020-10-02 16:14:43.029000+00:00,2022-09-30 16:14:44.605000+00:00,,,455.881927,120.127701,no_match,,,,,False
-71.2738918068125,-8.858428380429686,87612835.932065,149066959.256836,2020-09-28 16:28:37.966000+00:00,2022-09-26 16:28:39.624000+00:00,-12.019688165885128,-17.949232778883555,315.26885986328125,0.519258975982666,ok,20.0,21.0,20.0,edge,False
-71.2520627454084,-8.88807278480563,87612836.518864,149066959.843636,2020-10-02 16:14:43.029000+00:00,2022-09-30 16:14:44.605000+00:00,,,537.229187,1.8859330415725708,no_match,,,,,False
-71.25448819667552,-8.917178200011108,87612837.10974,149066960.430402,2020-10-02 16:14:43.029000+00:00,2022-09-30 16:14:44.605000+00:00,,,525.197998,0.0,no_match,,,,,False
-71.2369710486352,-8.941163218097088,87612837.580844,149066960.909748,2020-10-02 16:14:43.029000+00:00,2022-09-30 16:14:44.605000+00:00,,,752.738464,17.791973114013672,no_match,,,,,False
-71.25044577789699,-8.913674770403034,87612837.155192,137716480.894826,2020-10-02 16:14:43.029000+00:00,2022-04-29 16:14:44.010000+00:00,,,799.998108,225.091934,no_match,,,,,False
-71.23751003780566,-8.940354734341383,87612837.564316,149066960.89322,2020-10-02 16:14:43.029000+00:00,2022-09-30 16:14:44.605000+00:00,,,879.21991,0.7385609745979309,no_match,,,,,False
-71.27227483930109,-8.860584337111575,87612835.973385,149066959.298156,2020-09-28 16:28:37.966000+00:00,2022-09-26 16:28:39.624000+00:00,-12.43796088825502,-11.834831066879218,105.68140411376953,0.5238819718360901,ok,21.0,21.0,21.0,,True
-71.2499067887265,-8.914483254158739,87612837.17172,149066960.500663,2020-10-02 16:14:43.029000+00:00,2022-09-30 16:14:44.605000+00:00,,,126.7322998046875,9.438952445983887,no_match,,,,,False
